dataset,root_mode,rf,rt,n_runs,sum_w1,avg_w1,n_pairs,skipped_real,skipped_sim,median_root_to_leaf,seed,tree_path,cc_path,timestamp
ATGC0070,median_synthetic,3.1622777,0.1,5,5748.392403,205.2997287,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:25:58.800319Z
ATGC0070,median_synthetic,3.1622777,0.31622777,5,4134.709948,147.6682124,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:28:30.239913Z
ATGC0070,median_synthetic,3.1622777,1,5,4098.434064,146.3726451,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:31:16.305691Z
ATGC0070,median_synthetic,3.1622777,3.1622777,5,4103.893778,146.5676349,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:34:38.863808Z
ATGC0070,median_synthetic,3.1622777,10,5,10500.54636,375.0195128,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:39:34.369149Z
ATGC0070,median_synthetic,10,0.001,5,18309.02301,653.8936788,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:56:45.213223Z
ATGC0070,median_synthetic,10,0.0031622777,5,26848.80121,958.8857575,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T17:14:05.634771Z
ATGC0070,median_synthetic,10,0.01,5,65620.50992,2343.58964,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T17:31:10.851670Z
ATGC0070,median_synthetic,10,0.031622777,5,9506.36147,339.5129097,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T17:48:29.449161Z
ATGC0070,median_synthetic,10,0.1,5,1051.781205,37.56361445,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T18:05:47.534607Z
ATGC0070,median_synthetic,10,0.31622777,5,1047.506308,37.41093958,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T18:23:33.703860Z
ATGC0070,median_synthetic,10,1,5,13937.27411,497.7597898,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T18:40:26.669112Z
ATGC0070,median_synthetic,10,3.1622777,5,13913.24536,496.9016199,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T18:59:26.908529Z
ATGC0070,median_synthetic,10,10,5,1049.074942,37.46696221,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T19:22:54.196919Z
ATGC0070,median_synthetic,31.622777,0.001,5,39427.42887,1408.122459,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T21:59:41.136260Z
ATGC0070,median_synthetic,31.622777,0.0031622777,5,52242.72875,1865.811741,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2026-01-01T00:40:51.784199Z
ATGC0070,median_synthetic,0.01,0.001,100,12434.95764,444.1056299,28,0,0,1.20357,,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2026-01-11T01:05:16.489980Z
ATGC0070,median_synthetic,0.01,0.001,100,11762.39999,420.0857138,28,0,0,1.20357,,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2026-01-12T23:27:40.633267Z
